,latitude,,longitude,distance,bearing
37°15′48″N,37.26324786,127°01′41″E,127.0279262,0.3153,303.774°
37°15′46″N,37.26270606,127°01′34″E,127.02602683,0.4453,284.968°
37°15′33″N,37.25909537,127°01′33″E,127.02592403,0.5246,236.885°
37°15′40″N,37.26118692,127°01′39″E,127.02745296,0.3087,259.937°
37°15′23″N,37.2564878,127°01′57″E,127.03248544,0.5937,166.212°
37°15′54″N,37.26495108,127°01′32″E,127.02551033,0.5996,307.465°
37°15′23″N,37.25643197,127°01′49″E,127.03030654,0.5851,185.039°
37°15′52″N,37.26451018,127°01′54″E,127.03166799,0.3232,12.352°
37°15′55″N,37.26535667,127°01′49″E,127.03032566,0.4128,353.087°
37°15′34″N,37.25950803,127°01′34″E,127.02612387,0.4855,240.282°
37°15′43″N,37.26201904,127°02′03″E,127.03423475,0.2989,82.578°
37°15′38″N,37.26057928,127°02′04″E,127.0344659,0.3393,110.987°
37°15′52″N,37.2643868,127°01′56″E,127.0322265,0.3244,21.439°
37°15′46″N,37.26264704,127°01′53″E,127.03137759,0.1168,21.823°
37°15′38″N,37.26066265,127°01′51″E,127.03077545,0.1127,185.027°
37°15′55″N,37.26541291,127°01′47″E,127.0296372,0.4305,345.111°
37°15′36″N,37.25998663,127°01′51″E,127.03071682,0.1881,184.595°
37°15′49″N,37.2636467,127°01′50″E,127.03066075,0.2205,354.79°
37°15′42″N,37.26161833,127°01′55″E,127.03190936,0.0907,93.773°
37°15′52″N,37.26457827,127°02′06″E,127.03493649,0.4827,47.956°
37°15′48″N,37.26336473,127°02′05″E,127.03476634,0.3916,61.265°
37°15′39″N,37.26096185,127°01′46″E,127.02953706,0.1432,236.536°
37°15′38″N,37.26067792,127°01′57″E,127.03242007,0.1751,129.17°
37°15′35″N,37.25964576,127°01′52″E,127.03123179,0.2274,172.287°
37°15′44″N,37.26235067,127°02′13″E,127.03691171,0.5386,81.942°
37°15′49″N,37.26369853,127°01′46″E,127.02944198,0.2592,330.426°
37°15′56″N,37.26548363,127°02′01″E,127.03352643,0.4841,28.859°
37°15′38″N,37.26042636,127°01′53″E,127.03148498,0.1483,159.089°
37°15′40″N,37.26118192,127°01′58″E,127.03285558,0.1826,107.369°
37°15′25″N,37.25686378,127°01′44″E,127.02885342,0.5643,198.605°
37°15′59″N,37.2664449,127°01′55″E,127.03206136,0.541,11.079°
37°15′55″N,37.26538967,127°01′53″E,127.03127156,0.4149,4.706°
37°15′39″N,37.26079015,127°02′14″E,127.03717551,0.5653,99.991°
37°15′43″N,37.26206024,127°01′29″E,127.02473007,0.5467,274.532°
37°15′39″N,37.26072984,127°01′56″E,127.03220629,0.1569,131.901°
37°15′52″N,37.26442572,127°01′38″E,127.02732349,0.4397,314.157°
37°15′32″N,37.25895517,127°01′51″E,127.03092047,0.3022,179.438°
37°15′43″N,37.26188839,127°01′48″E,127.02997014,0.0847,286.518°
37°15′41″N,37.2613692,127°02′14″E,127.03717042,0.5572,93.463°
37°15′53″N,37.26459123,127°02′11″E,127.03626049,0.5759,55.681°
37°15′28″N,37.25782518,127°01′51″E,127.0308827,0.4279,180.051°
37°15′49″N,37.26360705,127°01′49″E,127.03035561,0.2203,347.672°
37°15′42″N,37.26180049,127°01′28″E,127.02448986,0.5665,271.448°
37°15′48″N,37.26322327,127°01′59″E,127.03335597,0.2785,51.71°
37°15′38″N,37.26060006,127°02′14″E,127.03717088,0.5689,102.096°
37°15′41″N,37.26135745,127°01′36″E,127.02678474,0.3648,264.498°
37°15′37″N,37.26040501,127°02′02″E,127.03382132,0.2955,118.48°
37°15′41″N,37.26150355,127°01′41″E,127.02811483,0.2461,265.635°
37°15′25″N,37.25701328,127°01′58″E,127.0326881,0.5421,162.896°
37°15′53″N,37.26484676,127°02′10″E,127.0360759,0.5794,52.446°
37°15′48″N,37.26328863,127°02′09″E,127.03593402,0.4816,68.075°
37°15′55″N,37.26529109,127°01′48″E,127.03002479,0.4097,349.264°
37°15′27″N,37.25757483,127°01′42″E,127.02828608,0.5106,206.806°
37°15′28″N,37.25770166,127°02′01″E,127.03370748,0.5073,150.515°
37°15′49″N,37.26367155,127°02′06″E,127.03513815,0.4371,59.416°
37°15′34″N,37.25944567,127°01′47″E,127.02975993,0.267,201.946°
37°15′55″N,37.26517899,127°01′44″E,127.02901602,0.4238,336.995°
37°15′47″N,37.26306414,127°01′53″E,127.03126217,0.1584,12.105°
37°15′55″N,37.26525165,127°01′49″E,127.03033308,0.4012,352.979°
37°15′39″N,37.26082603,127°01′39″E,127.02760337,0.3055,252.064°
37°15′55″N,37.26528158,127°01′54″E,127.03178967,0.4094,11.256°
37°15′49″N,37.26348883,127°01′32″E,127.02565673,0.5052,293.581°
37°15′33″N,37.25907593,127°01′34″E,127.02621761,0.5042,235.065°
37°15′48″N,37.26320529,127°01′38″E,127.02724779,0.3645,297.897°
37°15′58″N,37.26623092,127°01′50″E,127.03065531,0.5075,357.684°
37°15′48″N,37.26324051,127°01′29″E,127.0247023,0.5746,287.677°
37°15′56″N,37.26559891,127°01′37″E,127.02694322,0.5591,321.367°
37°15′49″N,37.26374157,127°01′47″E,127.02968268,0.2537,335.15°
37°15′38″N,37.26059677,127°01′51″E,127.0309005,0.1196,179.427°
37°15′47″N,37.26312652,127°01′34″E,127.02599656,0.4622,290.492°
37°15′49″N,37.26373465,127°02′09″E,127.03591168,0.5005,62.714°
37°15′32″N,37.25881249,127°01′54″E,127.03161515,0.3245,168.543°
37°15′37″N,37.26036719,127°01′29″E,127.02474306,0.5629,255.061°
37°15′36″N,37.26009113,127°01′36″E,127.02663384,0.4155,244.968°
37°15′48″N,37.26339149,127°02′04″E,127.03457419,0.3783,59.631°
37°15′59″N,37.2665626,127°01′59″E,127.03294888,0.5738,18.548°
37°15′33″N,37.2591857,127°02′05″E,127.03463305,0.4318,129.824°
37°15′49″N,37.26354332,127°01′35″E,127.02637794,0.4502,297.542°
37°15′43″N,37.26200601,127°02′10″E,127.03609268,0.4623,85.389°
37°15′29″N,37.25791729,127°02′05″E,127.03473904,0.5392,140.766°
37°15′57″N,37.26581623,127°01′40″E,127.02778028,0.5368,329.18°
37°15′32″N,37.25899713,127°01′44″E,127.02881073,0.3497,211.708°
37°15′51″N,37.26416533,127°01′36″E,127.02659382,0.4705,306.121°
37°15′58″N,37.26617674,127°01′59″E,127.03305298,0.5365,20.939°
37°15′49″N,37.2636791,127°01′42″E,127.02838522,0.3145,315.23°
37°15′53″N,37.26475847,127°02′07″E,127.03528442,0.519,48.589°
37°15′39″N,37.26076299,127°01′50″E,127.03050752,0.1065,198.379°
37°15′55″N,37.26538525,127°01′54″E,127.03177741,0.4205,10.804°
37°15′48″N,37.26336444,127°02′13″E,127.03684238,0.5598,70.348°
37°15′27″N,37.25750974,127°01′57″E,127.0325416,0.4856,162.443°
37°15′33″N,37.25927068,127°01′34″E,127.02598428,0.5096,238.393°
37°15′45″N,37.26261509,127°01′53″E,127.03133293,0.1121,20.622°
37°15′40″N,37.26122103,127°01′31″E,127.02535308,0.4924,264.155°
37°15′37″N,37.26037406,127°02′10″E,127.03615461,0.4881,107.201°
37°15′41″N,37.26145751,127°01′43″E,127.0284885,0.2137,263.59°
37°15′39″N,37.26075286,127°01′48″E,127.03001928,0.1279,216.92°
37°15′54″N,37.26508605,127°01′39″E,127.02741467,0.4885,321.013°
37°15′50″N,37.2640262,127°02′01″E,127.03363378,0.3573,42.878°
37°15′24″N,37.25678334,127°01′45″E,127.02924301,0.5629,194.985°
37°15′44″N,37.26209657,127°02′14″E,127.03722692,0.5632,85.188°
37°15′33″N,37.25911216,127°01′55″E,127.03204852,0.3027,160.143°
37°15′31″N,37.25850658,127°02′01″E,127.03351567,0.422,146.537°
37°15′37″N,37.26019157,127°01′36″E,127.02653884,0.4187,246.841°
37°15′57″N,37.26578589,127°01′38″E,127.02710149,0.5672,323.785°
37°15′47″N,37.26312112,127°01′49″E,127.03028985,0.1696,341.843°
37°15′56″N,37.26557932,127°02′01″E,127.03366697,0.4994,29.519°
37°15′48″N,37.26328719,127°02′09″E,127.03587556,0.4767,67.861°
37°15′47″N,37.2629742,127°01′31″E,127.02524398,0.5201,286.171°
37°15′27″N,37.25763863,127°01′49″E,127.0303498,0.4511,186.051°
37°15′47″N,37.2631829,127°01′39″E,127.02752053,0.3421,299.421°
37°15′44″N,37.26227593,127°02′04″E,127.03430651,0.3101,77.487°
37°15′48″N,37.26328758,127°01′32″E,127.02568198,0.4946,291.307°
37°16′01″N,37.26689176,127°01′53″E,127.0312569,0.5815,3.228°
37°15′56″N,37.26564167,127°01′47″E,127.02979206,0.452,347.619°
37°15′33″N,37.25929342,127°01′36″E,127.02667261,0.4574,234.659°
37°15′32″N,37.25884231,127°01′36″E,127.02662974,0.491,230.135°
37°15′32″N,37.25883529,127°01′34″E,127.0262028,0.5211,232.734°
37°15′55″N,37.26534631,127°01′37″E,127.02705606,0.5311,320.316°
37°15′40″N,37.26110349,127°02′12″E,127.03655383,0.5056,97.183°
37°15′51″N,37.26427475,127°02′12″E,127.03672912,0.5927,60.759°
37°15′53″N,37.26462142,127°01′53″E,127.03144,0.3317,8.487°
37°15′33″N,37.25922064,127°01′33″E,127.02577349,0.5284,238.94°
37°15′28″N,37.25772179,127°02′07″E,127.03527016,0.5862,138.55°
37°15′48″N,37.263211,127°01′34″E,127.02602164,0.4635,291.677°
37°15′36″N,37.26010034,127°02′13″E,127.03685887,0.5568,108.296°
37°15′49″N,37.26360281,127°02′01″E,127.03351169,0.3164,47.252°
37°15′34″N,37.25956849,127°02′05″E,127.03472819,0.4128,124.529°
37°15′59″N,37.26637035,127°01′46″E,127.029312,0.5409,345.062°
37°15′39″N,37.2607925,127°01′36″E,127.02676711,0.3776,254.986°
37°15′47″N,37.26311329,127°01′41″E,127.02814306,0.291,303.425°
37°15′57″N,37.26586693,127°01′54″E,127.0315669,0.4705,7.35°
37°15′35″N,37.25976555,127°01′53″E,127.03127961,0.2149,170.692°
37°15′39″N,37.26077295,127°02′08″E,127.03547848,0.4186,103.82°
37°15′29″N,37.25801438,127°01′51″E,127.03072286,0.4071,182.046°
37°15′59″N,37.26671262,127°01′55″E,127.03205234,0.5701,10.425°
37°15′43″N,37.26195259,127°02′08″E,127.03565791,0.4235,85.772°
37°15′44″N,37.26209121,127°01′44″E,127.02897427,0.1756,285.397°
37°15′57″N,37.26595359,127°01′54″E,127.03173944,0.4822,9.003°
37°15′46″N,37.26266999,127°01′34″E,127.02623493,0.4265,285.087°
37°15′51″N,37.26430292,127°02′11″E,127.03646197,0.5737,59.332°
37°15′31″N,37.2586829,127°02′03″E,127.03429286,0.4488,137.795°
37°15′48″N,37.26334195,127°01′38″E,127.02710119,0.3832,298.998°
37°15′46″N,37.26270733,127°01′35″E,127.02640189,0.4134,286.176°
37°15′56″N,37.26550454,127°01′54″E,127.0317281,0.4327,9.907°
37°15′56″N,37.26562907,127°01′59″E,127.03316383,0.4841,24.603°
37°15′54″N,37.26508679,127°01′57″E,127.03241645,0.4032,19.619°
37°15′49″N,37.26363763,127°01′53″E,127.03128314,0.2214,9.112°
37°15′35″N,37.25973206,127°01′31″E,127.02519656,0.548,246.814°
37°15′59″N,37.26656232,127°01′58″E,127.03281046,0.57,17.381°
37°15′29″N,37.25803409,127°01′55″E,127.03193251,0.4151,167.116°
37°15′54″N,37.26499237,127°01′43″E,127.02853627,0.4239,330.602°
37°15′26″N,37.25715107,127°01′42″E,127.02838416,0.5495,203.78°
37°15′32″N,37.25889584,127°02′02″E,127.03402514,0.4154,138.022°
37°15′59″N,37.26640843,127°01′57″E,127.03237484,0.543,14.036°
37°15′27″N,37.25760207,127°02′05″E,127.03470142,0.5648,143.278°
37°15′53″N,37.26473217,127°01′34″E,127.02613734,0.5409,308.993°
37°15′36″N,37.2601387,127°01′28″E,127.02443548,0.596,253.375°
37°15′44″N,37.26216937,127°01′28″E,127.02439761,0.5771,275.503°
37°15′52″N,37.26441403,127°01′32″E,127.02552064,0.5645,302.703°
37°15′56″N,37.26554316,127°02′03″E,127.03422684,0.5223,34.474°
37°15′57″N,37.26576455,127°01′57″E,127.03261234,0.4801,18.547°
37°15′54″N,37.26502343,127°02′04″E,127.03433571,0.4818,39.315°
37°15′34″N,37.25955564,127°01′34″E,127.02615581,0.4804,240.664°
37°15′51″N,37.26422372,127°01′49″E,127.03028416,0.2888,349.352°
37°15′53″N,37.2647508,127°01′55″E,127.03191523,0.3543,14.885°
37°15′40″N,37.26098132,127°02′01″E,127.03374615,0.2645,106.883°
37°15′35″N,37.25968359,127°02′03″E,127.03419053,0.3667,127.098°
37°15′53″N,37.26480376,127°01′37″E,127.0268558,0.4987,314.31°
37°15′42″N,37.26179092,127°01′43″E,127.02849703,0.212,273.578°
37°15′30″N,37.25828571,127°01′40″E,127.02766195,0.4726,217.163°
37°15′40″N,37.26124997,127°01′50″E,127.0304945,0.0584,216.509°
37°15′46″N,37.26274206,127°01′37″E,127.02688894,0.3734,288.588°
37°15′40″N,37.26111132,127°02′10″E,127.036091,0.4649,97.708°
37°15′45″N,37.26255156,127°02′02″E,127.03375611,0.2722,68.933°
37°15′30″N,37.25827483,127°01′47″E,127.02969502,0.3923,195.603°
37°15′39″N,37.2608151,127°01′35″E,127.02628795,0.4181,256.825°
37°15′46″N,37.26270008,127°02′08″E,127.03561599,0.434,74.721°
37°15′46″N,37.26269104,127°01′50″E,127.03046241,0.1194,341.654°
37°15′38″N,37.26047076,127°01′59″E,127.0329461,0.226,126.241°
37°15′26″N,37.25734648,127°01′59″E,127.03327398,0.5255,156.288°
37°15′53″N,37.26479172,127°01′45″E,127.02910572,0.3811,335.563°
37°15′26″N,37.25724458,127°01′49″E,127.03039696,0.4944,185.034°
37°15′29″N,37.25817639,127°02′09″E,127.03579241,0.5829,131.838°
37°15′48″N,37.26344045,127°01′51″E,127.03096953,0.1968,2.127°
37°15′31″N,37.25850354,127°02′09″E,127.03576959,0.5577,129.19°
37°15′23″N,37.2564915,127°01′46″E,127.02931647,0.5927,193.566°
37°15′37″N,37.26022342,127°02′11″E,127.03636174,0.5107,108.388°
37°15′35″N,37.25977065,127°01′29″E,127.02463211,0.5927,249.098°
37°15′30″N,37.25825914,127°01′52″E,127.03118535,0.3805,176.02°
37°15′45″N,37.26241315,127°01′55″E,127.03187937,0.1205,46.82°
37°15′55″N,37.26535048,127°01′36″E,127.02675886,0.5486,318.232°
37°15′25″N,37.25683974,127°01′46″E,127.02943082,0.5527,193.488°
37°15′42″N,37.26170204,127°01′42″E,127.02833267,0.2261,270.847°
37°15′54″N,37.26501263,127°01′52″E,127.03111415,0.3721,3.097°
37°15′50″N,37.26385961,127°01′47″E,127.02978719,0.2621,338.193°
37°15′26″N,37.25734914,127°01′59″E,127.0332859,0.5256,156.17°
37°15′24″N,37.25666841,127°01′56″E,127.03229902,0.5704,167.341°
37°15′58″N,37.26603766,127°01′45″E,127.02909651,0.5108,341.924°
37°15′50″N,37.26384731,127°01′34″E,127.02619663,0.4806,300.232°
37°15′33″N,37.25929666,127°02′11″E,127.0362607,0.5441,119.046°
37°15′42″N,37.26178676,127°02′02″E,127.03384403,0.2621,87.207°
37°15′42″N,37.26156858,127°01′55″E,127.03184686,0.0857,97.709°
37°15′41″N,37.26127957,127°01′48″E,127.0301283,0.0801,236.98°
37°15′27″N,37.2575174,127°02′03″E,127.03423811,0.5491,147.3°
37°15′48″N,37.26324539,127°01′55″E,127.03185013,0.1947,25.974°
37°15′41″N,37.26151429,127°02′04″E,127.03443457,0.3145,93.196°
37°15′34″N,37.25932883,127°01′30″E,127.02490957,0.5898,243.78°
37°15′30″N,37.25820259,127°01′55″E,127.03186988,0.3956,167.293°
37°15′30″N,37.25845029,127°01′44″E,127.02896727,0.3966,205.373°
37°15′54″N,37.26499537,127°01′56″E,127.03232794,0.391,19.037°
37°15′31″N,37.25872919,127°01′51″E,127.03072276,0.3276,182.543°
37°15′58″N,37.26598672,127°01′47″E,127.02967984,0.4917,347.448°
37°15′53″N,37.26474692,127°01′35″E,127.0263973,0.5243,310.715°
37°15′30″N,37.25836822,127°01′59″E,127.03298582,0.4118,153.177°
37°15′37″N,37.26015103,127°01′30″E,127.02493573,0.5533,252.199°
37°15′34″N,37.25956708,127°01′56″E,127.03223318,0.2627,153.023°
37°15′30″N,37.25838128,127°02′01″E,127.03350253,0.4331,147.682°
37°15′46″N,37.26285856,127°01′35″E,127.02636873,0.4212,288.263°
37°15′25″N,37.25701797,127°02′03″E,127.03423339,0.5964,150.217°
37°15′55″N,37.26528842,127°01′59″E,127.03339011,0.4592,28.848°
37°15′47″N,37.26301057,127°01′42″E,127.02829932,0.2732,303.023°
37°15′41″N,37.26128333,127°02′11″E,127.0363091,0.4819,95.145°
37°15′31″N,37.25858894,127°01′55″E,127.03201164,0.3571,163.81°
37°15′28″N,37.25769239,127°02′06″E,127.03502109,0.5743,140.415°
37°15′47″N,37.26305439,127°01′39″E,127.02758072,0.3306,297.716°
37°15′37″N,37.26033729,127°01′58″E,127.03270365,0.2189,132.711°
37°15′27″N,37.25744328,127°01′56″E,127.03220264,0.4845,166.092°
37°15′59″N,37.26668848,127°01′53″E,127.03127524,0.559,3.524°
37°15′33″N,37.25905187,127°01′49″E,127.03040191,0.2946,188.383°
37°15′49″N,37.26366918,127°02′09″E,127.0357902,0.4876,62.895°
37°15′39″N,37.26088147,127°02′09″E,127.03574526,0.439,101.553°
37°15′52″N,37.26440339,127°02′01″E,127.03356116,0.3851,37.924°
37°15′47″N,37.26302959,127°02′12″E,127.03679986,0.5448,73.906°
37°15′49″N,37.26374876,127°01′34″E,127.02611526,0.4814,298.674°
37°15′54″N,37.26497573,127°01′33″E,127.02586886,0.5765,309.6°
37°15′44″N,37.26223756,127°02′08″E,127.03556575,0.4189,81.362°
37°15′55″N,37.26522675,127°01′45″E,127.02920536,0.4225,339.369°
37°15′34″N,37.25943103,127°01′40″E,127.02778277,0.371,227.791°
37°15′42″N,37.26162534,127°01′57″E,127.03257364,0.1494,91.99°
37°15′34″N,37.25933399,127°01′59″E,127.03339961,0.3422,139.458°
37°15′29″N,37.25808793,127°01′42″E,127.02838873,0.4559,209.021°
37°15′39″N,37.26087938,127°01′35″E,127.02640394,0.4065,257.477°
37°15′44″N,37.26226182,127°02′05″E,127.03471566,0.3452,79.044°
37°15′47″N,37.2631276,127°01′49″E,127.030196,0.1731,339.303°
37°15′51″N,37.26412273,127°01′58″E,127.03276152,0.3191,31.33°
37°15′37″N,37.26022705,127°01′57″E,127.03252241,0.2163,137.987°
37°15′40″N,37.26113562,127°01′49″E,127.0301471,0.0886,227.671°
37°15′27″N,37.25745993,127°01′53″E,127.03134837,0.4703,175.017°
37°15′48″N,37.26321276,127°01′40″E,127.02781919,0.3211,302.255°
37°15′38″N,37.26068235,127°01′40″E,127.02770396,0.3025,248.663°
37°15′39″N,37.26081647,127°01′49″E,127.03030041,0.1084,208.621°
37°15′26″N,37.25729321,127°01′59″E,127.0334372,0.5368,155.13°
37°15′38″N,37.26065539,127°01′52″E,127.03123351,0.1172,164.822°
37°15′49″N,37.26371197,127°02′11″E,127.03643069,0.5407,65.184°
37°15′41″N,37.26134971,127°01′41″E,127.02802451,0.2559,261.949°
37°15′50″N,37.26384559,127°02′01″E,127.03369512,0.3468,45.796°
37°15′40″N,37.26119352,127°02′12″E,127.03670391,0.5177,95.899°
37°15′54″N,37.26500917,127°01′34″E,127.02623711,0.5543,312.045°
37°15′39″N,37.26074251,127°01′40″E,127.02781998,0.2905,249.155°
37°15′57″N,37.2659664,127°01′59″E,127.03324472,0.5213,23.602°
37°15′34″N,37.25936876,127°02′08″E,127.03543663,0.4773,122.458°
37°15′47″N,37.26314984,127°02′03″E,127.0342394,0.3392,61.017°
37°15′33″N,37.2591058,127°01′47″E,127.02963023,0.3063,201.295°
37°15′42″N,37.26169581,127°01′50″E,127.03059034,0.0264,275.759°
37°15′36″N,37.26010877,127°02′01″E,127.03361645,0.2977,125.738°
37°15′55″N,37.26525755,127°01′49″E,127.0303726,0.4014,353.486°
37°15′46″N,37.26264644,127°02′08″E,127.03567346,0.4374,75.65°
37°15′58″N,37.26601661,127°01′39″E,127.02753108,0.5672,328.42°
37°15′59″N,37.2663258,127°01′40″E,127.02773831,0.5879,331.7°
37°15′54″N,37.26510561,127°02′07″E,127.03531185,0.5471,45.723°
37°15′42″N,37.26163889,127°02′11″E,127.03642213,0.49,90.429°
37°15′50″N,37.26398112,127°01′39″E,127.02738149,0.4028,309.614°
37°15′29″N,37.25812208,127°01′48″E,127.02992346,0.404,192.19°
37°15′36″N,37.25993278,127°02′08″E,127.03559346,0.4594,114.904°
37°15′24″N,37.25676572,127°01′45″E,127.02912319,0.5676,195.968°
37°15′58″N,37.26609348,127°02′01″E,127.03359251,0.547,25.965°
37°15′43″N,37.26181399,127°01′31″E,127.02520314,0.5034,271.8°
37°15′40″N,37.26097305,127°02′08″E,127.03543455,0.41,100.929°
37°15′31″N,37.2586355,127°02′11″E,127.03642906,0.5956,124.542°
37°15′47″N,37.26306963,127°02′10″E,127.03599083,0.4778,71.011°
37°15′30″N,37.25822383,127°01′35″E,127.02651868,0.5446,225.238°
37°15′26″N,37.25731727,127°01′53″E,127.03141532,0.4866,174.484°
37°15′30″N,37.25842745,127°01′48″E,127.03012024,0.3672,190.652°
37°15′34″N,37.25936343,127°01′32″E,127.02550809,0.541,241.666°
37°15′40″N,37.26106173,127°01′54″E,127.03153192,0.0887,139.934°
37°15′29″N,37.25816151,127°01′59″E,127.03328902,0.4446,151.427°
37°15′36″N,37.25999661,127°01′42″E,127.02841675,0.2873,229.564°
37°15′53″N,37.2646036,127°02′09″E,127.03588224,0.5494,53.593°
37°15′59″N,37.26644878,127°01′48″E,127.0299838,0.5373,351.443°
37°15′51″N,37.26428354,127°02′12″E,127.03659118,0.5825,60.088°
37°15′42″N,37.26153315,127°02′05″E,127.0346753,0.3357,92.636°
37°15′46″N,37.26290535,127°01′49″E,127.03032019,0.1461,339.91°
37°15′46″N,37.26272326,127°01′52″E,127.03124979,0.1213,15.358°
37°15′44″N,37.26210076,127°01′56″E,127.03216625,0.1229,67.162°
37°15′41″N,37.26137521,127°01′28″E,127.02439792,0.5754,266.713°
37°15′50″N,37.26375226,127°02′10″E,127.03603183,0.5108,63.066°
37°15′53″N,37.26459716,127°01′35″E,127.02649692,0.5068,309.938°
37°15′33″N,37.25917156,127°02′02″E,127.03398492,0.3906,135.401°
37°15′33″N,37.25921008,127°01′33″E,127.02597131,0.5141,237.821°
37°15′44″N,37.26214823,127°01′51″E,127.0309538,0.0533,6.37°
37°15′53″N,37.26481122,127°01′50″E,127.03049406,0.3509,354.311°
37°15′23″N,37.25644443,127°01′50″E,127.03066877,0.5818,181.903°
37°15′47″N,37.26308014,127°01′45″E,127.0292764,0.2118,317.689°
37°15′27″N,37.25741688,127°01′44″E,127.02902774,0.5011,199.177°
37°15′33″N,37.25930159,127°01′54″E,127.03156818,0.2705,167.117°
37°15′48″N,37.2632878,127°01′38″E,127.0273001,0.3649,299.512°
37°15′49″N,37.2634774,127°01′29″E,127.02480415,0.5747,290.454°
37°15′36″N,37.25994123,127°01′35″E,127.02644037,0.4382,243.94°
37°15′45″N,37.26245084,127°01′55″E,127.03188081,0.1235,45.441°
37°15′45″N,37.26255071,127°02′06″E,127.03488687,0.3673,74.568°
37°15′23″N,37.2564724,127°01′51″E,127.03071833,0.5785,181.479°
37°15′39″N,37.26096336,127°01′38″E,127.02735228,0.3227,255.863°
37°15′54″N,37.26504072,127°01′37″E,127.02682113,0.5195,316.154°
37°15′35″N,37.25974213,127°02′13″E,127.03706594,0.5876,111.425°
37°15′55″N,37.26518654,127°01′55″E,127.03193503,0.4018,13.35°
37°15′28″N,37.25790977,127°01′56″E,127.03210192,0.4321,165.586°
37°15′34″N,37.25949129,127°01′59″E,127.03295059,0.3036,143.014°
